index,Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Лизинг,Дүүрэг,Цонхны тоо,Байршил,Огноо,Зарын гарчиг,Үнэ,Байрлал,Талбай_numeric,Үнэ_mean
16121,Паркет,1 тагттай,2020,Байгаа,Вакум,16,Бүргэд,34.33,5,Лизинггүй,Баянзүрх,2,14-р хороолол,2020-03-24 00:00:00,APARTMENT A BLOCK 1URUU BAIR 34M2,55000000.0,Улаанбаатар,34.33,51941115.49295775
16122,Паркет,1 тагттай,2010,Байхгүй,Вакум,5,Бүргэд,31.0,3,Лизинггүй,Баянгол,1,"3, 4 хороолол",2020-03-24 00:00:00,"3,4-R KHOROOLOLD VENUS PHOTO STUDIO-IIN ZAMYN URD TALD 31M2 1 OROO BAIR",55000000.0,Улаанбаатар,31.0,56938935.39325843
16123,Паркет,1 тагттай,1980,Байхгүй,Вакум,4,Бүргэд,32.0,2,Лизинггүй,Чингэлтэй,2,"40, 50 мянгат",2020-03-24 00:00:00,BAGA TOIROGT 1 OROO BAIR,62000000.0,Улаанбаатар,32.0,70839285.71428572
16124,Паркет,1 тагттай,2013,Байхгүй,Вакум,13,Бүргэд,26.0,9,Лизинггүй,Баянзүрх,1,13-р хороолол,2020-03-24 00:00:00,13-R KHOROOLOLD 26 MKV 1 OROO BAIR,40000000.0,Улаанбаатар,26.0,58964486.03351955
16125,Паркет,1 тагттай,2014,Байхгүй,Вакум,12,Бүргэд,40.0,10,Лизинггүй,Баянгол,1,Нарны хороолол,2020-03-24 00:00:00,"BGD NARNY KHOROOLOLD 12/10 DAVKHART 39,55MKV 1 OROO BAIR KHUDALDANA",82500000.0,Улаанбаатар,40.0,89632018.86792453
16126,Паркет,Тагтгүй,2013,Байхгүй,Вакум,5,Бүргэд,30.3,3,Лизинггүй,Хан-Уул,1,Viva city,2020-03-24 00:00:00,VIVA CITY HOTHON 30.3 M2 1OROO BAIR,46000000.0,Улаанбаатар,30.3,43515602.83687943
16127,Паркет,1 тагттай,2019,Байхгүй,Вакум,9,Бүргэд,39.0,3,Лизинггүй,Баянзүрх,1,Офицер,2020-03-24 00:00:00,BAYAN ZURKH DUURGIIN EMNELGIIN ARD 1 OROO,65000000.0,Улаанбаатар,39.0,57844298.65771812
16128,Паркет,1 тагттай,2008,Байхгүй,Вакум,10,Төмөр,29.0,8,Лизинггүй,Чингэлтэй,1,Баянбүрд,2020-03-24 00:00:00,BAYNBURDED BUREN TAVILGATAI 1 URUU,65000000.0,Улаанбаатар,29.0,59190014.63414634
16129,Паркет,1 тагттай,2020,Байгаа,Вакум,16,Бүргэд,23.47,7,Лизинггүй,Баянзүрх,1,Офицер,2020-03-24 00:00:00,1 OROO 26.97M2 BAIR,23446530.0,Улаанбаатар,23.47,48726743.967289716
16130,Паркет,1 тагттай,2019,Байхгүй,Вакум,12,Бүргэд,30.0,3,Лизинггүй,Хан-Уул,2,Бусад,2020-03-24 00:00:00,MISHEEL EKSPOGIIN KHAJUUD 1 OROO 30M2 BAIR,43500000.0,Улаанбаатар,30.0,51733929.42898975
16131,Мод,1 тагттай,1994,Байхгүй,Вакум,5,Мод,20.0,3,Лизинггүй,Сонгино Хайрхан,2,Бусад,2020-03-24 00:00:00,1 OROO BAIR 20M2,35000000.0,Улаанбаатар,20.0,40540983.60655738
16132,Паркет,1 тагттай,2019,Байхгүй,Төмөр вакум,16,Бүргэд,29.9,1,Лизинггүй,Баянзүрх,1,Амгалан,2020-03-24 00:00:00,1 OROO 29.9M2 BAIR,46345000.0,Улаанбаатар,29.9,47038066.666666664
16133,Паркет,1 тагттай,2010,Байхгүй,Вакум,10,Бүргэд,29.0,7,Банкны лизингтэй,Чингэлтэй,1,Баянбүрд,2020-03-24 00:00:00,HOTIIN TOVIIN 1 OROO 29M2 BAIR,58000000.0,Улаанбаатар,29.0,59190014.63414634
16134,Паркет,1 тагттай,2006,Байхгүй,Вакум,9,Бүргэд,22.0,3,Лизинггүй,Баянгол,2,6-р бичил,2020-03-24 00:00:00,BICHIL KHOROOLOLD 1 OROO BAIR,38000000.0,Улаанбаатар,22.0,48878571.428571425
16135,Паркет,Тагтгүй,2010,Байхгүй,Вакум,5,Төмөр,37.0,5,Лизинггүй,Баянзүрх,3,13-р хороолол,2020-03-24 00:00:00,"SHINE MONGOL SURGUULIIN KHAJUUD 1 OROO BAIR 36,7M2",61000000.0,Улаанбаатар,37.0,79020892.15686275
16136,Паркет,1 тагттай,1980,Байхгүй,Вакум,5,Бүргэд,29.0,5,Лизинггүй,Сүхбаатар,2,5-р хороолол,2020-03-24 00:00:00,HUUHDIIN 100 D 1 OROO BAIR 29M2,85000000.0,Улаанбаатар,29.0,67047619.047619045
16137,Паркет,1 тагттай,2016,Байхгүй,Вакум,12,Бүргэд,30.05,7,Лизинггүй,Хан-Уул,2,19-р хороолол,2020-03-24 00:00:00,MISHEELIIN EXPO-N HAJUUD 1 URUU BAIR 30.05M2,54000000.0,Улаанбаатар,30.05,55550309.94152047
16138,Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Бүргэд,26.0,15,Лизинггүй,Баянзүрх,2,Бусад,2020-03-24 00:00:00,SHINE 1 OROO BAIR,46000000.0,Улаанбаатар,26.0,51733929.42898975
16139,Паркет,1 тагттай,2010,Байхгүй,Вакум,16,Бүргэд,27.0,15,Лизинггүй,Баянгол,1,Бусад,2020-03-24 00:00:00,10-R KHOROOLOL GOLDEN PARK KHOTKHOND 27MK 1OROO BAIR,47000000.0,Улаанбаатар,27.0,51733929.42898975
16140,Паркет,1 тагттай,2020,Байхгүй,Вакум,6,Төмөр,33.0,6,Лизинггүй,Хан-Уул,2,Бусад,2020-03-24 00:00:00,KHUD-T 1 OROO BAIR,61050000.0,Улаанбаатар,33.0,51733929.42898975
16141,Паркет,1 тагттай,2009,Байхгүй,Вакум,5,Бүргэд,29.0,2,Лизинггүй,Баянзүрх,2,13-р хороолол,2020-03-24 00:00:00,1 OROO 29M2 BAIR,53000000.0,Улаанбаатар,29.0,58964486.03351955
16142,Паркет,1 тагттай,2019,Байгаа,Вакум,16,Төмөр,35.79,5,Лизинггүй,Хан-Уул,3,Нисэх,2020-03-24 00:00:00,1 OROO BAIR,64422000.0,Улаанбаатар,35.79,60713496.323529415
16143,Паркет,1 тагттай,2018,Байхгүй,Вакум,12,Бүргэд,37.0,6,Лизинггүй,Баянгол,3,"3, 4 хороолол",2020-03-24 00:00:00,KHOTYN TOVD 1 OROO BAIR,68000000.0,Улаанбаатар,37.0,67657509.58466454
16144,Паркет,1 тагттай,2006,Байхгүй,Вакум,16,Бүргэд,41.5,5,Лизинггүй,Баянгол,1,Богд-Ар,2020-03-24 00:00:00,1 OROO BAIR,65000000.0,Улаанбаатар,41.5,66540750.0
16145,Паркет,1 тагттай,2005,Байхгүй,Вакум,5,Бүргэд,38.14,4,Лизинггүй,Баянгол,2,"3, 4 хороолол",2020-03-24 00:00:00,4KHOROOLOLD 1OROO BAIR 38.14M2,68000000.0,Улаанбаатар,38.14,67657509.58466454
